Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
MCR-5.2	ARO:3004698	MCR phosphoethanolamine transferase	peptide	target alteration	A plasmid-mediated MCR-5 variant from Escheichia coli which confers resistance to colistins.				
MCR-6.1	ARO:3004501	MCR phosphoethanolamine transferase	peptide	target alteration	An MCR-2 phosphoethanolamine transferase and polymyxin resistance gene variant identified in Moraxella isolated from pigs in the United Kingdom.				
MCR-7.1	ARO:3004517	MCR phosphoethanolamine transferase	peptide	target alteration	A novel plasmid-mediated colistin-resistant phosphoethanolamine transferase identified from a poultry isolate of Klebsiella pneumoniae				
MCR-8.1	ARO:3004516	MCR phosphoethanolamine transferase	peptide	target alteration	A novel phosphoethanolamine transferase and mobile colistin resistance gene identified from carbapenam-resistant NDM-1-producing Klebsiella pneumoniae.				
MCR-9.1	ARO:3004684	MCR phosphoethanolamine transferase	peptide	target alteration	A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate				
mecA	ARO:3000617	methicillin resistant PBP2	penam	target replacement	A foreign PBP2a acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.				
mecB	ARO:3003440	methicillin resistant PBP2	penam	target replacement	A foreign PBP2 acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.				
mecC	ARO:3001209	methicillin resistant PBP2	penam	target replacement	A foreign PBP2a acquired by lateral gene transfer that able to perform peptidoglycan synthesis in the presence of beta-lactams.				
mecD	ARO:3004185	methicillin resistant PBP2	penam	target replacement	mecD is a PBP2a variant identified on a genomic resistance island in Macrococcus caseolyticus. MecD confers resistance to methicillin and other beta-lactams through the production of an alternative low-affinity PBP. First described by Schwendener et al. 2017 and identified from canine and bovine sources.				
mecI	ARO:3000124	methicillin resistant PBP2	penam	target replacement	mecI acts as a repressor of transcription of the mecA/mecR1/mecI operon.				
mecR1	ARO:3000215	methicillin resistant PBP2	penam	target replacement	mecR1 is a transmembrane spanning and signal transducing protein which in response to interaction w/ beta-lactams results in upregulation of the mecA/mecR1/mecI operon.				
mgtA	ARO:3000462	mgt macrolide glycotransferase	macrolide	inactivation	A macrolide glycosyltransferase encoded by the mgtA gene in Streptomyces lividans. This enzyme inactivates macrolides using UDP-glucose as a cofactor. Its optimal substrates are lankamycin, calcomycin, rosaramicin, methymycin, and pikromycin, while interactions w/ erythomycin, oldeandomycin, azithromycin, and tylosin were weaker. It is inactive against spiramycin and carbomycin. Mechanism first described by Cundliffe, 1992.				
mipA	ARO:3004127	MipA-interacting Protein	fluoroquinolone;aminoglycoside	reduced permeability to;resistance by absence	MltA-interacting protein (mipA), is an resistance-related outer membrane protein. Deletion of mipA increases kanamycin, nalidixic acid and streptomycin resistance.				
MIR-1	ARO:3002166	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-1 is a beta-lactamase found in Klebsiella pneumoniae	C			A
MIR-10	ARO:3002175	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-10 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobacterasburiae)
MIR-11	ARO:3002176	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-11 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobactercloacae)
MIR-12	ARO:3002177	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-12 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobactercloacae)
MIR-13	ARO:3002178	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-13 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobacterasburiae)
MIR-14	ARO:3002179	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-14 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobacterasburiae)
MIR-15	ARO:3002180	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-15 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobactercloacaecomplex'HoffmannclusterIV')
MIR-16	ARO:3002181	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-16 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobacterasburiae)
MIR-17	ARO:3003173	MIR beta-lactamase	monobactam;cephalosporin	inactivation	From the Lahey list of beta-lactamases.	C			N (Enterobactercloacae)
MIR-2	ARO:3002168	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-2 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobactercloacae)
MIR-23	ARO:3004745	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-23, originally described as AZECL-25, is a class C beta-lactamase that is found in Enterobacter cloacae.	C			N (Enterobactercloacae4405)
MIR-3	ARO:3002169	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-3 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobacterasburiae)
MIR-4	ARO:3002167	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-4 is a beta-lactamase found in E.coli	C			A
MIR-5	ARO:3002170	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-5 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			A
MIR-6	ARO:3002171	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-6 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			A
MIR-9	ARO:3002174	MIR beta-lactamase	monobactam;cephalosporin	inactivation	MIR-9 is a beta-lactamase. From the Lahey list of MIR beta-lactamases.	C			N (Enterobacterasburiae)
MOX-1	ARO:3002182	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-1 is a beta-lactamase found in Klebsiella pneumoniae	C	MOX-1-like		A
MOX-2	ARO:3002183	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-2 is a beta-lactamase found in Klebsiella pneumoniae	C	MOX-1-like		A
MOX-3	ARO:3002186	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-3 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.	C	MOX-1-like		N (Aeromonassp.HCUZ2422275)
MOX-4	ARO:3002184	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-4 is a beta-lactamase found in Aeromonas caviae	C	MOX-1-like		N (Aeromonascaviae)
MOX-5	ARO:3002188	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-5 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.	C	MOX-5-like		N (Aeromonascaviae)
MOX-6	ARO:3002185	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-6 is a beta-lactamase found in Klebsiella pneumoniae	C	MOX-5-like		N (Aeromonascaviae)
MOX-7	ARO:3002189	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-7 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.	C	MOX-5-like		N (Aeromonascaviae)
MOX-8	ARO:3002190	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-8 is a beta-lactamase. From the Lahey list of MOX beta-lactamases.	C	MOX-1-like		N (Aeromonascaviae)
MOX-9	ARO:3002191	MOX beta-lactamase	cephalosporin;cephamycin;penam	inactivation	MOX-9 is a beta-lactamase found in Citrobacter freundii.	C	MOX-9-like		A
MSI-1	ARO:3003718	MSI beta-lactamase	carbapenam	inactivation	MSI-1 is a subclass B3 metallo-beta lactamase isolated from Massilia oculi conferring resistance to carbapenams.	B3			N (Massiliasp.SB1-3)
MSI-OXA	ARO:3003719	MSI-OXA family beta-lactamase	carbapenam	inactivation	MSI-OXA is an OXA-85-like class D beta lactamase isolated from Massilia oculi.				
abeM	ARO:3000753	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone;acridine dye;triclosan	efflux	AbeM is an multidrug efflux pump found in A. baumannii.				
cdeA	ARO:3003835	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone;acridine dye	efflux	Clostridioides difficile and E.coli multidrug efflux transporter w/ antiporter function. Confers resistance to fluoroquinolones in E. coli and acriflavin in Clostridioides difficile.				
emeA	ARO:3003551	multidrug and toxic compound extrusion (MATE) transporter	acridine dye	efflux	A multidrug efflux pump from Enterococcus faecalis. There exist efflux activity of several antimicrobial agents such as DAPI, Hoechst 33342 and acriflavine. Efflux of DAPI via EmeA was strongly inhibited by reserpine.				
hmrM	ARO:3003953	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone;acridine dye	efflux	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.				
hp1184	ARO:3003965	multidrug and toxic compound extrusion (MATE) transporter	macrolide;fluoroquinolone;tetracycline;nitroimidazole	efflux	hp1184 is a translocase that belongs to the MATE efflux pump family. It is found in H. pylori and is involved in the active efflux ofs.				
MdtK	ARO:3001327	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone	efflux	A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin, doxorubicin and acriflavine.				
mepA	ARO:3000026	multidrug and toxic compound extrusion (MATE) transporter	N/A	efflux	MepA is an efflux protein regulated by MepR and part of the MepRAB cluster. Its presence in S.aureus led to multidrug resistance, while it has also been shown to decrease tigecycline susceptibility.				
mepR	ARO:3000746	multidrug and toxic compound extrusion (MATE) transporter	N/A	efflux	MepR is an upstream repressor of MepA in S.aureus. It is part of the mepRAB operon.				
PmpM	ARO:3004077	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone;aminoglycoside;benzalkonium chloride	efflux	PmpM is a multidrug efflux pump belonging to the MATE family of P. aeruginosa. PmpM is an H+ drug antiporter and is the first reported case of an H+ coupled efflux pump in the MATE family. PmpM confers resistance to fluoroquinolones, fradiomycin, benzalkonium chloride, chlorhexidine gluconate, ethidium bromide, tetraphenylphosphonium chloride (TPPCl), and rhodamine 6G.				
murA	ARO:3003777	murA transferase	fosfomycin	target alteration	murA or UDP-N-acetylglucosamine enolpyruvyl transferase catalyses the initial step in peptidoglycan biosynthesis and is inhibited by fosfomycin. Mutations to the murA enzyme confers resistance to the.				
murA	ARO:3003785	murA transferase	fosfomycin	target alteration	Chlamydia murA confers intrinsic resistance to fosfomycin. The presence of an aspartic acid residue in place of the critical cysteine at position 119 that enables fosfomycin binding is believed to be responsible for this intrinsic resistance.				
murA	ARO:3003775	murA transferase	fosfomycin	target alteration	murA or UDP-N-acetylglucosamine enolpyruvyl transferase catalyses the initial step in peptidoglycan biosynthesis and is inhibited by fosfomycin. Overexpression of murA through mutations such as Asp369Asn and Leu370Ile confers fosfomycin resistance. Extensive evidence has shown the significance of C115 mutations in conferring fosfomycin resistance since this residue represents a primary binding site for the across many species.				
murA	ARO:3003784	murA transferase	fosfomycin	target alteration	M.tuberculosis murA confers intrinsic resistance to fosfomycin. The presence of an aspartic acid residue in place of the critical cysteine at position 117 that enables fosfomycin binding is believed to be responsible for this intrinsic resistance.				
murA	ARO:3003776	murA transferase	fosfomycin	target alteration	murA or UDP-N-acetylglucosamine enolpyruvyl transferase catalyses the initial step in peptidoglycan biosynthesis and is inhibited by fosfomycin. Overexpression of murA through mutations confers fosfomycin resistance.				
murG	ARO:3004561	murG transferase	glycopeptide	target alteration	Mutations in murG which confer resistance to vancomycin in Clostridioides difficile				
MUS-1	ARO:3000843	MUS beta-lactamase	carbapenam	inactivation	MUS-1 is a chromosome-encoded beta-lactamase from Myroides odoratus and Myroides odoratimimus.	B1			N (Myroidesodoratimimus)
MUS-2	ARO:3003842	MUS beta-lactamase	carbapenam	inactivation	MUS-2 is a chromosome-encoded beta-lactamase from Myroides odoratimimus.	B1			N (Myroidesodoratimimus)
NDM-1	ARO:3000589	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae w/ nearly complete resistance to all beta-lactams.	B1		Carbapenemase	A
NDM-10	ARO:3002360	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-10 is a beta-lactamase. From the Lahey list of NDM beta-lactamases.	B1		Carbapenemase	A
NDM-11	ARO:3002361	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-11 is a beta-lactamase. From the Lahey list of NDM beta-lactamases.	B1		Carbapenemase	A
NDM-12	ARO:3002362	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-12 is a beta-lactamase found in E.coli.	B1		Carbapenemase	A
NDM-13	ARO:3003182	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	beta-lactamase found in E.coli clinical isolates in Nepal.	B1		Carbapenemase	A
NDM-14	ARO:3003183	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-14 is a beta-lactamase found in A. lwoffii.	B1		Carbapenemase	A
NDM-17	ARO:3004093	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-17 is a metallo-beta-lactamase isolated from E.coli w/ enhanced carbapenamase activity compared to NDM-1.	B1		Carbapenemase	A
NDM-2	ARO:3000590	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-2 was isolated from a strain of A. baumannii in Germany from a patient hospitalized in Cairo.  A single amino acid substitution (P28R) differentiates this gene from NDM-1 and the two enzymes appear to have an identical spectrum of hydrolysis.	B1		Carbapenemase	A
NDM-3	ARO:3002354	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-3 is a beta-lactamase found in the Enterobacteriaceae family	B1		Carbapenemase	A
NDM-4	ARO:3002355	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-4 is a beta-lactamase found in E.coli	B1		Carbapenemase	A
NDM-5	ARO:3000467	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	New Delhi beta-lactamase NDM-5.	B1		Carbapenemase	A
NDM-6	ARO:3002356	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-6 is a beta-lactamase found in the Enterobacteriaceae family	B1		Carbapenemase	A
NDM-7	ARO:3002357	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-7 is a beta-lactamase found in E.coli	B1		Carbapenemase	A
NDM-8	ARO:3002358	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-8 is a beta-lactamase found in E.coli	B1		Carbapenemase	A
NDM-9	ARO:3002359	NDM beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NDM-9 is a beta-lactamase found in Klebsiella pneumoniae.	B1		Carbapenemase	A
NmcA	ARO:3003589	NmcA beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NmcA is a class A serine beta-lactamase isolated from Enterobacter cloacae.	A	IMI-like	Carbapenemase	N (Enterobactercloacae)
NmcR	ARO:3003665	NmcA beta-lactamase	carbapenam;cephalosporin;cephamycin;penam	inactivation	NmcR is a homolog of the LysR regulator found in Enterobacter cloacae that contribute to the regulation of NmcA beta-lactamase				
tsnR	ARO:3003060	non-erm 23S ribosomal RNA methyltransferase (A1067)	peptide	target alteration	tsnR is a 23S ribosomal RNA methyltransferase that methylates adenosine-1067 to confer resistance to thiostrepton				
chrB	ARO:3001302	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide;lincosamide	target alteration	ChrB is a methyltransferase found in Streptomyces bikiniensis and confers resistance to chalcomycin, mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering). chrB is found in the chalcomycin biosynthetic cluster and is responsible for self-resistance in S. bikiniensis.				
emtA	ARO:3004669	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide;lincosamide	target alteration	A rRNA methyltransferase conferring high-level evernimicin resistance				
myrA	ARO:3001300	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide;lincosamide	target alteration	myrA is a methyltransferase found in Micromonospora griseorubida and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering) of 23S ribosomal RNA. MyrA is found in the mycinamicin biosynthetic cluster and is one mechanism by which M. griseorubida protects itself from self-destruction when producing this macrolide.				
RlmA(II)	ARO:3001301	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide;lincosamide	target alteration	RlmA(II) is a methyltransferase found in Streptococcus pneumoniae and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering) of 23S ribosomal RNA.				
tlrB	ARO:3001299	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide;lincosamide	target alteration	TlrB is a methyltransferase found in Streptomyces fradiae and confers resistance to mycinamicin, tylosin and lincosamides. Specifically, this enzyme adds a methyl group to guanosine 748 (E. coli numbering). TlrB is found in the tylosin biosynthetic cluster and is one mechanism by which S. fradiae protects itself from self-destruction when producing this macrolide.				
NPS-1	ARO:3004239	NPS beta-lactamase	cephalosporin;penam	inactivation	NPS-1 is a plasmid-encoded class D beta-lactamases identified from two P. aeruginosa isolates in 1986.	D	LCR-NPS-like		A
OCH-1	ARO:3002514	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-1 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OCH-2	ARO:3002515	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-2 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OCH-3	ARO:3002516	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-3 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OCH-4	ARO:3002517	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-4 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OCH-5	ARO:3002518	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-5 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OCH-6	ARO:3002519	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-6 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OCH-7	ARO:3002520	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-7 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OCH-8	ARO:3002521	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam	inactivation	OCH-8 beta-lactamase is an Ambler class C chromosomal-encoded beta-lactamases in Ochrobactrum anthropi	C			N (Ochrobactrumanthropi)
OKP-A-1	ARO:3002418	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-1 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-10	ARO:3002427	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-10 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-11	ARO:3002428	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-11 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-12	ARO:3002429	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-12 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-13	ARO:3002430	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-13 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-14	ARO:3002431	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-14 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-15	ARO:3002432	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-15 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-16	ARO:3002433	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-16 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-2	ARO:3002419	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-2 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-3	ARO:3002420	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-3 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-4	ARO:3002421	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-4 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-5	ARO:3002422	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-5 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-6	ARO:3002423	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-6 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-7	ARO:3002424	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-7 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-8	ARO:3002425	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-8 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-A-9	ARO:3002426	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-A-9 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-A-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-1	ARO:3002434	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-1 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-10	ARO:3002443	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-10 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-11	ARO:3002444	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-11 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-12	ARO:3002445	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-12 is a beta-lactamase found in Klebsiella pneumoniae	A			
OKP-B-13	ARO:3002446	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-13 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-17	ARO:3002450	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-17 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-18	ARO:3002451	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-18 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-19	ARO:3002452	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-19 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-2	ARO:3002435	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-2 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-20	ARO:3002453	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-20 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-3	ARO:3002436	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-3 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-4	ARO:3002437	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-4 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-5	ARO:3002438	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-5 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-6	ARO:3002439	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-6 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-7	ARO:3002440	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-7 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-8	ARO:3002441	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-8 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
OKP-B-9	ARO:3002442	OKP beta-lactamase	cephalosporin;penam	inactivation	OKP-B-9 is a beta-lactamase found in Klebsiella pneumoniae	A	OKP-B-likeSHV-like	broadspectrum	N (Klebsiellapneumoniae)
oleD	ARO:3000865	ole glycosyltransferase	macrolide	inactivation	OleD is a glycotransferase found in Streptomycesus, a natural producer  of oleandomycin. OleD can glycosylate a wide range of macrolides. Unlike oleI, oleD is not found in the oleandomycin biosynthetic cluster.				
oleI	ARO:3000866	ole glycosyltransferase	macrolide	inactivation	OleI is a glycosyltransferase found in Streptomycesus, specifically the oleandomycin biosynthetic cluster. OleI glycosylates oleandomycin to confer self-resistance.				
OprD	ARO:3003809	Outer Membrane Porin (Opr)	monobactam;carbapenam;cephalosporin;cephamycin;penam	reduced permeability to;resistance by absence	An outer member protein (OMP) found in A. baumannii involved in the uptake of imipenam and basic amino acids. This porin is homologous to P. aeruginosa OprD, which performs an identical function.				
oprD	ARO:3003686	Outer Membrane Porin (Opr)	monobactam;carbapenam;cephalosporin;cephamycin;penam	reduced permeability to	oprD is an outer membrane porin which facilitates the uptake of basic amino acids and imipenam in P. aeruginosa.				
OXA-1	ARO:3001396	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-1 is a beta-lactamase found in E. coli	D	OXA-1-like	ESBL	A
OXA-10	ARO:3001405	OXA beta-lactamase	cephalosporin;penam	inactivation	OXA-10 is a beta-lactamase found in A. baumannii and P. aeruginosa.	D	OXA-10-like	ESBL	A
